Iteration,Live Cell Count
1,3260
2,2391
3,2292
4,2149
5,2061
6,1834
7,1752
8,1641
9,1519
10,1431
11,1329
12,1251
13,1208
14,1105
15,1008
16,943
17,915
18,835
19,799
20,767
21,726
22,702
23,659
24,649
25,629
26,616
27,593
28,560
29,510
30,518
31,485
32,478
33,467
34,481
35,471
36,470
37,464
38,462
39,455
40,442
41,440
42,438
43,419
44,428
45,417
46,424
47,420
48,411
49,404
50,397
51,394
52,387
53,382
54,388
55,376
56,377
57,375
58,379
59,373
60,373
61,373
62,371
63,371
64,368
65,368
66,368
67,368
68,368
69,368
70,368
71,368
72,368
73,368
74,368
75,368
76,368
77,368
78,368
79,368
80,368
81,368
82,368
83,368
84,368
85,368
