Iteration,Live Cell Count
0,4957
1,1272
2,1881
3,2278
4,2836
5,2583
6,2766
7,2896
8,2932
9,2854
10,2861
11,2901
12,2878
13,2825
14,2921
15,2818
16,2830
17,2836
18,2892
19,2750
20,2889
21,2908
22,2936
23,2770
24,2829
25,2917
26,2945
27,2706
28,2886
29,2865
30,2918
31,2821
32,2887
33,2896
34,2863
35,2945
36,2870
37,2938
38,2812
39,2994
40,2824
41,2891
42,2917
43,2960
44,2854
45,3004
46,2986
47,2964
48,2885
49,2899
50,2950
51,2744
52,2967
53,2905
54,2830
55,2823
56,2950
57,2897
58,2807
59,2828
60,2884
61,2865
62,2867
63,2932
64,2841
65,2793
66,2901
67,2969
68,2829
69,2923
70,2822
71,2920
72,2863
73,2953
74,2971
75,2835
76,3003
77,2936
78,2758
79,3005
80,2842
81,2999
82,2955
83,2988
84,2881
85,2911
86,3063
87,2768
88,2958
89,2899
90,2803
91,2975
92,2957
93,2835
94,2928
95,2873
96,2772
97,2862
98,2888
99,2984
100,2954
101,2773
102,2815
103,2998
104,2870
105,2964
106,2820
107,2961
108,2966
109,2837
110,2917
111,2773
112,2880
113,2968
114,2843
115,2879
116,2847
117,2839
118,2897
119,2901
120,2925
121,2884
122,2865
123,2878
124,2903
125,2826
126,3081
127,2819
128,2859
129,2908
130,2872
131,2909
132,2892
133,2879
134,3026
135,2954
136,2940
137,2714
138,2891
139,2940
140,2898
141,2811
142,2858
143,2985
144,2900
145,2938
146,2854
147,2802
148,2882
149,2798
150,3029
151,2840
152,2925
